"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"-:893976.1-933220.7",,2,7847,31388,31388,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.988853,2,7847,31388,31388,4,1,0,0,0
"-:933221.1-969375.7",,2,7229,28916,28916,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.906729,2,7229,28916,28916,4,1,0,0,0
"-:969376.1-983165.7",,2,2756,11024,11024,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.348609,2,2756,11024,11024,4,1,0,0,0
"-:983166.1-1000065.7",,2,3378,13512,13512,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.42193,2,3378,13512,13512,4,1,0,0,0
"-:1000066.1-1011065.7",,2,2198,8792,8792,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.281012,2,2198,8792,8792,4,1,0,0,0
"-:1011066.1-1055570.7",,2,8899,35596,35596,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.1075,2,8899,35596,35596,4,1,0,0,0
"-:1055571.1-1078595.7",,2,4603,18412,18412,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.580772,2,4603,18412,18412,4,1,0,0,0
"-:1078596.1-1115795.7",,2,7438,29752,29752,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.938544,2,7438,29752,29752,4,1,0,0,0
"-:1115796.1-1157440.7",,2,8327,33308,33308,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.12795,2,8327,33308,33308,4,1,0,0,0
"-:1157441.1-1205740.7",,2,9658,38632,38632,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.23437,2,9658,38632,38632,4,1,0,0,0
"-:1205741.1-1220385.7",,2,2927,11708,11708,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.366743,2,2927,11708,11708,4,1,0,0,0
"-:1220386.1-1244115.7",,2,4744,18976,18976,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.597878,2,4744,18976,18976,4,1,0,0,0
"-:1244116.1-1252670.7",,2,1709,6836,6836,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.228511,2,1709,6836,6836,4,1,0,0,0
"-:1252671.1-1271700.7",,2,3804,15216,15216,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.485322,2,3804,15216,15216,4,1,0,0,0
"-:1271701.1-1318620.7",,2,9382,37528,37528,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.20533,2,9382,37528,37528,4,1,0,0,0
"-:1318621.1-1353685.7",,2,7011,28044,28044,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.868149,2,7011,28044,28044,4,1,0,0,0
"-:1353686.1-1375665.7",,2,4394,17576,17576,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.587545,2,4394,17576,17576,4,1,0,0,0
"-:1375666.1-1412420.7",,2,7349,29396,29396,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.931976,2,7349,29396,29396,4,1,0,0,0
"-:1412421.1-1453925.7",,2,8299,33196,33196,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.12722,2,8299,33196,33196,4,1,0,0,0
"-:1453926.1-1461870.7",,2,1587,6348,6348,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.20923,2,1587,6348,6348,4,1,0,0,0
